channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.00078845,0.06517838,95,54,12
S1_D3,0.99964309,0.05790573,95,54,14
S2_D2,0.99940056,0.05285710,95,54,15
S2_D1,0.98447162,0.09459612,95,54,21
S2_D5,1.00350237,0.05315905,95,54,9
S3_D1,1.00273466,0.04702951,95,54,11
S3_D3,1.01509762,0.04747891,95,54,1
S3_D4,0.99188715,0.06571240,95,54,18
S3_D6,0.99081087,0.05942588,95,54,19
S4_D4,1.00959432,0.05037749,95,54,5
S4_D5,0.98878658,0.06326483,95,54,20
S4_D7,1.00575745,0.05027962,95,54,7
S5_D2,1.00051963,0.06388897,95,54,13
S5_D5,1.00554585,0.05370456,95,54,8
S5_D8,0.99244702,0.05377380,95,54,17
S6_D3,0.98291451,0.06667748,95,54,22
S6_D6,0.97984326,0.07031368,95,54,23
S7_D4,1.01135778,0.05156020,95,54,4
S7_D6,1.00814056,0.04736194,95,54,6
S7_D7,1.01273406,0.05111631,95,54,2
S8_D5,1.01240492,0.05987973,95,54,3
S8_D7,0.99860638,0.07620710,95,54,16
S8_D8,1.00301158,0.06624478,95,54,10
