channel_i,channel_j,mean,std,n_trials,rank
S3_D3,S3_D4,0.04696368,0.00701995,95,1
S7_D4,S8_D7,0.04667275,0.00793206,95,2
S6_D3,S7_D7,0.04640033,0.00570343,95,3
S4_D4,S7_D7,0.04639635,0.00544304,95,4
S4_D7,S5_D8,0.04618022,0.00972588,95,5
S3_D1,S3_D6,0.04610170,0.00486592,95,6
S2_D5,S7_D7,0.04606607,0.00738061,95,7
S1_D1,S1_D3,0.04606158,0.00690956,95,8
S7_D6,S8_D5,0.04603986,0.00903342,95,9
S1_D1,S2_D2,0.04589573,0.01142945,95,10
S4_D7,S5_D2,0.04585060,0.00825666,95,11
S1_D3,S3_D3,0.04583244,0.00709676,95,12
S4_D7,S8_D7,0.04569920,0.00629919,95,13
S7_D4,S8_D8,0.04546115,0.00678126,95,14
S5_D8,S8_D8,0.04541042,0.00677520,95,15
S4_D7,S7_D7,0.04539987,0.00449722,95,16
S2_D1,S5_D2,0.04537706,0.00683906,95,17
S5_D2,S7_D4,0.04535784,0.00713234,95,18
S7_D4,S7_D6,0.04531137,0.00597135,95,19
S1_D3,S4_D5,0.04529068,0.00831420,95,20
S4_D4,S8_D5,0.04528682,0.00580539,95,21
S7_D7,S8_D7,0.04526284,0.00761165,95,22
S3_D6,S7_D6,0.04526224,0.00426589,95,23
S5_D2,S8_D5,0.04525413,0.00766572,95,24
S5_D5,S5_D8,0.04523005,0.00547590,95,25
S3_D3,S6_D3,0.04520196,0.00730795,95,26
S5_D5,S7_D4,0.04519757,0.00673560,95,27
S1_D3,S5_D2,0.04518775,0.00685749,95,28
S3_D4,S3_D6,0.04516818,0.00725635,95,29
S4_D5,S7_D7,0.04516755,0.00631269,95,30
S3_D3,S6_D6,0.04511889,0.00594407,95,31
S4_D4,S4_D5,0.04510209,0.00614270,95,32
S3_D1,S3_D4,0.04509589,0.00909570,95,33
S7_D6,S8_D7,0.04509267,0.00659943,95,34
S5_D2,S5_D5,0.04505877,0.00743940,95,35
S3_D3,S7_D4,0.04503863,0.00500137,95,36
S7_D4,S8_D5,0.04503479,0.00744171,95,37
S3_D6,S8_D7,0.04502797,0.00668265,95,38
S3_D3,S3_D6,0.04500530,0.00735850,95,39
S1_D3,S2_D2,0.04500268,0.00824707,95,40
S7_D4,S7_D7,0.04497971,0.01029961,95,41
S4_D4,S5_D2,0.04497337,0.00802394,95,42
S5_D2,S8_D8,0.04494110,0.00733601,95,43
S3_D1,S7_D4,0.04488945,0.00772036,95,44
S1_D1,S3_D3,0.04488900,0.00790888,95,45
S7_D6,S7_D7,0.04485088,0.00899639,95,46
S4_D7,S8_D8,0.04484970,0.00565471,95,47
S5_D5,S8_D5,0.04481995,0.00586917,95,48
S7_D7,S8_D5,0.04481065,0.00726878,95,49
S1_D1,S3_D1,0.04480231,0.00727598,95,50
