ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.8,R,0.06178071,4,4.00000000
Brodmann.9,R,0.06130599,4,4.00000000
Brodmann.8,L,0.05670055,4,4.00000000
Brodmann.10,R,0.04748917,3,3.00000000
Brodmann.9,L,0.04103503,3,3.00000000
Brodmann.10,L,0.03932255,2,2.00000000
Brodmann.46,R,0.03103313,2,2.00000000
Brodmann.46,L,0.01765977,1,1.00000000
