task,channel,mean_hc,std_hc,mean_gad,std_gad,U,p_raw,d,p_fdr,sig_raw,sig_fdr,hb
GNG,S3_D4,0.741569,0.121266,0.654830,0.095237,708.000000,0.001235,-0.789337,0.009467,True,True,hbr
GNG,S3_D6,0.727736,0.107577,0.737722,0.088956,455.000000,0.745572,0.100542,0.835882,False,False,hbr
GNG,S4_D4,0.819028,0.087818,0.824986,0.084877,457.000000,0.767026,0.068914,0.835882,False,False,hbr
GNG,S4_D5,0.791092,0.133012,0.670822,0.116928,729.000000,0.000420,-0.956327,0.004834,True,True,hbr
GNG,S4_D7,0.744972,0.115533,0.722535,0.115443,539.000000,0.397286,-0.194277,0.548212,False,False,hbr
GNG,S5_D2,0.847218,0.071139,0.802552,0.089773,619.000000,0.048255,-0.555729,0.148197,True,False,hbr
GNG,S5_D5,0.788500,0.082111,0.703027,0.096306,700.000000,0.001822,-0.960191,0.010475,True,True,hbr
GNG,S5_D8,0.778463,0.094876,0.736926,0.085115,613.000000,0.058695,-0.459214,0.150000,False,False,hbr
GNG,S6_D3,0.760929,0.091557,0.751595,0.093535,502.000000,0.745572,-0.100923,0.835882,False,False,hbr
GNG,S6_D6,0.690108,0.101099,0.703680,0.106470,450.000000,0.692826,0.130951,0.835882,False,False,hbr
GNG,S7_D4,0.698293,0.105760,0.719252,0.112026,413.000000,0.359133,0.192768,0.548212,False,False,hbr
GNG,S7_D6,0.712966,0.096189,0.741715,0.121697,382.000000,0.175620,0.264148,0.310712,False,False,hbr
GNG,S7_D7,0.704821,0.112742,0.712478,0.113995,460.000000,0.799539,0.067562,0.835882,False,False,hbr
GNG,S8_D5,0.766507,0.091014,0.740773,0.112775,538.000000,0.405200,-0.252916,0.548212,False,False,hbr
GNG,S8_D7,0.749817,0.110285,0.741510,0.116214,486.000000,0.921332,-0.073449,0.921332,False,False,hbr
GNG,S8_D8,0.729507,0.092399,0.684534,0.109354,583.000000,0.142314,-0.446756,0.272768,False,False,hbr
GNG,S1_D1,0.868392,0.054680,0.804803,0.109467,682.000000,0.004184,-0.750095,0.096241,True,False,hbt
GNG,S1_D3,0.870220,0.062645,0.838090,0.075276,601.000000,0.085220,-0.466816,0.259493,False,False,hbt
GNG,S2_D2,0.882814,0.070867,0.851242,0.082360,598.000000,0.093182,-0.412992,0.259493,False,False,hbt
GNG,S2_D1,0.856570,0.057039,0.830575,0.068285,590.000000,0.117352,-0.415656,0.259493,False,False,hbt
GNG,S2_D5,0.832256,0.126319,0.796164,0.158059,588.000000,0.124105,-0.254137,0.259493,False,False,hbt
GNG,S3_D1,0.849337,0.074681,0.789863,0.149397,636.000000,0.026763,-0.513961,0.153890,True,False,hbt
GNG,S3_D3,0.858176,0.079461,0.812268,0.101086,641.000000,0.022284,-0.508958,0.153890,True,False,hbt
