task,channel,mean_hc,std_hc,mean_gad,std_gad,U,p_raw,d,p_fdr,sig_raw,sig_fdr,hb
GNG,S3_D4,0.811905,0.169902,0.806083,0.080249,594.000000,0.104714,-0.042918,0.259493,False,False,hbt
GNG,S3_D6,0.834236,0.103004,0.832801,0.070105,545.000000,0.351789,-0.016097,0.425849,False,False,hbt
GNG,S4_D4,0.858773,0.105262,0.833063,0.126575,552.000000,0.303066,-0.222212,0.413194,False,False,hbt
GNG,S4_D5,0.846612,0.088192,0.839721,0.074383,533.000000,0.446161,-0.084001,0.513086,False,False,hbt
GNG,S4_D7,0.806573,0.141547,0.802690,0.106001,549.000000,0.323369,-0.030761,0.413194,False,False,hbt
GNG,S5_D2,0.837928,0.148187,0.831537,0.069431,610.000000,0.064582,-0.054089,0.259493,False,False,hbt
GNG,S5_D5,0.857976,0.119976,0.836779,0.064181,662.000000,0.009830,-0.216343,0.113043,True,False,hbt
GNG,S5_D8,0.839616,0.092466,0.820558,0.061331,593.000000,0.107768,-0.239821,0.259493,False,False,hbt
GNG,S6_D3,0.853820,0.067680,0.838638,0.058790,580.000000,0.154185,-0.238386,0.295521,False,False,hbt
GNG,S6_D6,0.807294,0.077859,0.782810,0.126318,481.000000,0.977490,-0.236925,1.000000,False,False,hbt
GNG,S7_D4,0.795431,0.132661,0.799080,0.119628,478.000000,1.000000,0.028790,1.000000,False,False,hbt
GNG,S7_D6,0.832846,0.124165,0.824053,0.125788,487.000000,0.910139,-0.070385,0.996818,False,False,hbt
GNG,S7_D7,0.826895,0.114069,0.819653,0.072272,571.000000,0.194310,-0.074789,0.335448,False,False,hbt
GNG,S8_D5,0.840429,0.098575,0.834052,0.066383,569.000000,0.204186,-0.074957,0.335448,False,False,hbt
GNG,S8_D7,0.818457,0.103235,0.797002,0.127699,550.000000,0.316505,-0.186081,0.413194,False,False,hbt
GNG,S8_D8,0.776430,0.163341,0.777535,0.092328,564.000000,0.230459,0.008188,0.353371,False,False,hbt
