ba_label,hemi,mean,n_channels_contrib,p_mass_total
Brodmann.8,L,0.54773994,4,4.00000000
Brodmann.8,R,0.53869781,4,4.00000000
Brodmann.9,R,0.51449366,4,4.00000000
Brodmann.10,R,0.40839843,3,3.00000000
Brodmann.9,L,0.39790648,3,3.00000000
Brodmann.10,L,0.29722692,2,2.00000000
Brodmann.46,R,0.26110740,2,2.00000000
Brodmann.46,L,0.15078662,1,1.00000000
