channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.99927169,0.07304367,92,50,14
S1_D3,0.99412847,0.05868533,92,50,16
S2_D2,0.99168241,0.05381312,92,50,18
S2_D1,0.97732300,0.08044166,92,50,23
S2_D5,1.00385034,0.05542948,92,50,10
S3_D1,1.00930822,0.05151619,92,50,7
S3_D3,1.01337886,0.04814250,92,50,1
S3_D4,1.00152934,0.05694649,92,50,12
S3_D6,0.99406511,0.05608702,92,50,17
S4_D4,1.01337206,0.04994813,92,50,2
S4_D5,0.98206866,0.06247290,92,50,21
S4_D7,0.99116981,0.06141005,92,50,19
S5_D2,0.99023801,0.07574527,92,50,20
S5_D5,1.01308227,0.04440897,92,50,3
S5_D8,1.00350893,0.08715472,92,50,11
S6_D3,0.99651366,0.04829201,92,50,15
S6_D6,0.98078835,0.06209896,92,50,22
S7_D4,1.00626528,0.05775390,92,50,9
S7_D6,1.00936520,0.05002688,92,50,6
S7_D7,1.01116133,0.05516791,92,50,4
S8_D5,1.00996089,0.04817415,92,50,5
S8_D7,0.99943376,0.07516453,92,50,13
S8_D8,1.00853479,0.05371413,92,50,8
