channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.24207252,0.19773951,92,50,11
S1_D3,0.25770950,0.20103851,92,50,3
S2_D2,0.24616294,0.21309885,92,50,7
S2_D1,0.24039648,0.19668265,92,50,13
S2_D5,0.22695635,0.19914016,92,50,17
S3_D1,0.24803232,0.20235771,92,50,5
S3_D3,0.21655463,0.19322167,92,50,22
S3_D4,0.21714965,0.17797425,92,50,21
S3_D6,0.27541339,0.23382229,92,50,1
S4_D4,0.24256031,0.20753971,92,50,10
S4_D5,0.20487815,0.16730575,92,50,23
S4_D7,0.27305138,0.23222087,92,50,2
S5_D2,0.24545698,0.21475859,92,50,8
S5_D5,0.24043091,0.19678052,92,50,12
S5_D8,0.23530217,0.21588428,92,50,15
S6_D3,0.24770322,0.19998012,92,50,6
S6_D6,0.22671415,0.19481516,92,50,18
S7_D4,0.23584712,0.19328029,92,50,14
S7_D6,0.24396513,0.19649565,92,50,9
S7_D7,0.22986966,0.18961392,92,50,16
S8_D5,0.25658536,0.20665213,92,50,4
S8_D7,0.22519311,0.19236487,92,50,19
S8_D8,0.21847647,0.17117330,92,50,20
