channel,mean,std,n_trials,n_subjects,rank
S1_D1,0.13947143,0.01643337,187,57,8
S1_D3,0.15775549,0.03688300,187,57,1
S2_D2,0.13171254,0.01168311,187,57,15
S2_D1,0.14221385,0.01147651,187,57,5
S2_D5,0.11812852,0.01346724,187,57,23
S3_D1,0.13997330,0.01224041,187,57,7
S3_D3,0.12954968,0.01042865,187,57,17
S3_D4,0.12838350,0.01070177,187,57,18
S3_D6,0.14205396,0.02798661,187,57,6
S4_D4,0.12830713,0.02811018,187,57,19
S4_D5,0.12189960,0.01056353,187,57,22
S4_D7,0.14250837,0.04645408,187,57,4
S5_D2,0.13447204,0.01303153,187,57,12
S5_D5,0.13609768,0.01106465,187,57,11
S5_D8,0.12500972,0.01038484,187,57,21
S6_D3,0.15078662,0.01243725,187,57,2
S6_D6,0.12729819,0.01119887,187,57,20
S7_D4,0.13918154,0.01210918,187,57,10
S7_D6,0.13920625,0.01339653,187,57,9
S7_D7,0.13374227,0.01071380,187,57,13
S8_D5,0.14615841,0.01284877,187,57,3
S8_D7,0.13000949,0.01053198,187,57,16
S8_D8,0.13243768,0.01039312,187,57,14
